time,m,n,k,lead_A,lead_B,lead_C
3.829843,1789,3333,3839,3839,3839,3839
5.167186,3233,3616,2625,3616,3616,3616
0.170121,317,2414,1270,2414,2414,2414
1.197728,2719,2545,1017,2719,2719,2719
4.114494,4332,2363,2415,4332,4332,4332
0.131944,4845,77,1819,4845,4845,4845
0.867641,3262,334,4636,4636,4636,4636
8.668428,4737,2696,4094,4737,4737,4737
0.169709,3818,1058,246,3818,3818,3818
1.370642,4522,429,4129,4522,4522,4522
0.767628,1257,1965,1848,1965,1965,1965
4.084357,1474,4487,3708,4487,4487,4487
0.002758,418,156,232,418,418,418
0.525839,562,2609,2095,2609,2609,2609
1.09745,2864,1483,1497,2864,2864,2864
7.875953,3205,3102,4627,4627,4627,4627
12.857201,4040,4580,4213,4580,4580,4580
1.435781,1727,2184,2259,2259,2259,2259
6.944787,2894,4188,3460,4188,4188,4188
2.982362,1696,2118,4996,4996,4996,4996
0.014684,4,3776,1280,3776,3776,3776
0.471918,1210,1144,1950,1950,1950,1950
3.13336,2827,3453,1934,3453,3453,3453
0.264474,2041,4100,143,4100,4100,4100
8.366162,3265,4593,3363,4593,4593,4593
4.839958,3289,3582,2417,3582,3582,3582
2.566883,2771,2770,2010,2771,2771,2771
2.297314,3098,4039,1053,4039,4039,4039
0.124444,97,3914,1608,3914,3914,3914
3.151319,1776,3833,2766,3833,3833,3833
