time,m,n,lead_A,lead_B
0.794264,3859,1477,3859,3859
0.404867,1903,1510,1903,1903
4.493454,2476,4563,4563,4563
0.633386,2170,1773,2170,2170
5.021291,2620,4740,4740,4740
4.129746,3720,3523,3720,3720
1.482689,3580,2136,3580,3580
0.657829,4634,1236,4634,4634
3.81872,3650,3504,3650,3650
2.991857,3812,3027,3812,3812
0.281518,404,2806,2806,2806
0.064418,202,1734,1734,1734
0.258974,2274,1097,2274,2274
0.00025,3118,14,3118,3118
0.196928,2054,1026,2054,2054
2.296824,3262,2823,3262,3262
0.066873,739,913,913,913
0.021353,3387,227,3387,3387
0.157251,4260,614,4260,4260
0.000539,881,61,881,881
0.800692,1523,2429,2429,2429
3.326293,2036,4372,4372,4372
0.748011,851,3157,3157,3157
0.750514,3944,1470,3944,3944
0.287534,1225,1586,1586,1586
0.4937,3178,1324,3178,3178
0.002513,360,221,360,360
2.953421,4016,2932,4016,4016
1.909911,1647,3698,3698,3698
4.909032,2361,4871,4871,4871
