topology,nb_roots,nb_proc,size,full_time,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
"2;16,32;1,13;1,1;1",13,512,100000,921.943,921.92,723.1,243.158,41.035,227.31,15.89,6,184826,0.99,155795456,1981071360,10604000,98652160
"2;16,32;1,3;1,1;1",3,512,100000,922.308,922.28,722.9,247.5,40.982,231.47,16.05,0,330288,0.99,155205632,1980481536,10616000,96210944
"2;16,32;1,2;1,1;1",2,512,100000,922.061,922.03,723.1,253.299,42.9368,234.06,19.22,0,400655,0.99,155963392,1981239296,10604000,96018432
"2;16,32;1,12;1,1;1",12,512,100000,922.092,922.06,723.0,253.717,42.0866,237.26,16.4,0,201418,0.99,154697728,1980059648,10592000,97599488
"2;16,32;1,4;1,1;1",4,512,100000,921.355,921.33,723.6,246.793,41.1039,230.67,16.17,0,190507,0.99,155668480,1980796928,10608000,96821248
"2;16,32;1,11;1,1;1",11,512,100000,922.125,922.1,723.0,249.923,42.8535,232.64,17.29,0,183701,0.99,154488832,1979764736,10608000,97226752
"2;16,32;1,15;1,1;1",15,512,100000,921.143,921.11,723.8,245.215,41.511,229.06,16.17,0,180405,0.99,156549120,1981849600,10612000,98287616
"2;16,32;1,14;1,1;1",14,512,100000,921.266,921.24,723.7,248.503,41.3249,232.23,16.3,0,182070,0.99,155799552,1980903424,10600000,98250752
"2;16,32;1,1;1,1;1",1,512,100000,922.226,922.2,722.9,259.076,41.5944,242.53,16.62,0,191524,0.99,154898432,1980174336,10608000,95862784
"2;16,32;1,9;1,1;1",9,512,100000,921.654,921.62,723.4,244.499,41.5047,227.95,16.55,0,180894,0.99,155598848,1980833792,10608000,96813056
"2;16,32;1,5;1,1;1",5,512,100000,921.108,921.08,723.8,252.904,41.5276,236.83,16.12,0,181853,0.99,156192768,1981399040,10604000,96935936
"2;16,32;1,10;1,1;1",10,512,100000,922.258,922.23,722.9,253.616,41.9089,237.02,16.58,0,183524,0.99,154652672,1979764736,10596000,95199232
"2;16,32;1,6;1,1;1",6,512,100000,922.018,921.99,723.1,246.897,41.6664,230.74,16.19,0,191148,0.99,156078080,1981358080,10612000,94121984
"2;16,32;1,7;1,1;1",7,512,100000,922.356,922.33,722.8,250.96,41.3836,234.67,16.34,0,175331,0.99,155402240,1980768256,10600000,96026624
"2;16,32;1,8;1,1;1",8,512,100000,920.442,920.41,724.3,260.833,42.658,244.04,16.83,0,192428,0.99,155529216,1980735488,10596000,95752192
"2;16,32;1,16;1,1;1",16,512,100000,922.295,922.27,722.9,249.242,41.6242,232.96,16.28,0,178441,0.99,156172288,1981321216,10600000,95801344
