topology,nb_roots,nb_proc,size,time,Gflops,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss
"2;8,8;1,8;1,1",8,56,350000,277877.17,102.9,544.398,71.1302,212.32,54.72,0,16682883,0.49,19460096,986123444224
"2;8,8;1,8;1,1",8,56,250000,102384.68,101.7,260.266,42.4798,152.05,30.9,0,8697967,0.7,17211392,504381124608
"2;8,8;1,8;1,1",8,56,100000,7039.74,94.7,70.9232,11.6758,57.94,7.46,0,1546334,0.92,17375232,81767542784
"2;8,8;1,8;1,1",8,56,450000,587262.57,103.4,853.409,106.998,275.59,86.36,0,27333701,0.42,17600512,1627866226688
"2;8,8;1,8;1,1",8,56,500000,804025.89,103.6,1160.13,128.863,311.05,105.36,0,33505247,0.35,21319680,2008741175296
"2;8,8;1,8;1,1",8,56,550000,1068509.96,103.8,1307.54,149.855,340.5,123.96,0,40442531,0.35,17764352,2429608894464
"2;8,8;1,8;1,1",8,56,400000,413449.99,103.2,695.123,89.7154,246.56,70.65,0,21642569,0.45,19415040,1286996676608
"2;8,8;1,8;1,1",8,56,300000,175771.75,102.4,440.571,56.5225,184.25,43.02,0,12356471,0.51,17301504,725252263936
"2;8,8;1,8;1,1",8,56,200000,52967.54,100.7,175.917,30.4936,121.59,21.8,0,5678010,0.81,21471232,323514085376
"2;8,8;1,8;1,1",8,56,50000,1034.59,80.55,32.4956,4.94997,28.8,3.1,0,451529,0.98,17543168,20896530432
"2;8,8;1,8;1,1",8,56,600000,1385454.51,103.9,1651.72,175.639,388.61,145.98,0,47847351,0.32,19877888,2890482036736
