topology,nb_roots,nb_proc,size,full_time,time,Gflops,total_energy,used_energy,unused_energy,simulation_time,application_time,user_time,system_time,major_page_fault,minor_page_fault,cpu_utilization,uss,rss,page_table_size,memory_size
file(platform_taurus_hpl.xml),-1,156,20000,14.8343,14.48,368.4,43088.413891,37970.583026,5117.830865,153.419,42.7614,147.84,5.29,0,1726742,0.99,57126912,3759284224,8484000,33878016
file(platform_taurus_hpl.xml),-1,60,20000,23.0907,22.31,239.1,51286.243442,22076.503246,29209.740196,92.9522,38.2086,89.34,3.46,0,1724102,0.99,37670912,3574812672,7380000,23519232
file(platform_taurus_hpl.xml),-1,24,20000,39.349,37.83,141.0,79296.364941,15944.455057,63351.909884,70.3261,36.2156,67.25,2.85,0,1685749,0.99,15859712,3491123200,6932000,2699264
file(platform_taurus_hpl.xml),-1,48,20000,25.8896,25.05,212.9,55893.969331,20166.268368,35727.700963,84.775,37.3862,81.17,3.39,0,1719339,0.99,28946432,3545600000,7228000,17481728
file(platform_taurus_hpl.xml),-1,36,20000,30.2461,29.21,182.6,63259.087534,18041.219944,45217.86759,77.5931,36.7242,74.18,3.17,0,1728597,0.99,20353024,3516231680,7072000,11386880
file(platform_taurus_hpl.xml),-1,72,20000,20.9278,20.26,263.2,48002.70467,23935.713721,24066.990949,96.5985,38.5896,92.77,3.68,0,1720854,0.99,41377792,3599060992,7516000,27598848
file(platform_taurus_hpl.xml),-1,120,20000,16.4591,16.04,332.5,43323.386299,31966.608303,11356.777996,125.713,40.908,120.71,4.74,0,1711135,0.99,50753536,3691094016,8072000,29646848
file(platform_taurus_hpl.xml),-1,132,20000,15.7689,15.37,347.1,42825.523087,33758.410831,9067.112256,137.95,41.4377,132.88,4.86,0,1710537,0.99,53125120,3714121728,8208000,30150656
file(platform_taurus_hpl.xml),-1,192,20000,13.6424,13.32,400.5,43327.90174,43327.90174,0.0,178.812,45.1284,172.53,6.05,0,1740617,0.99,65941504,3829936128,8912000,33710080
file(platform_taurus_hpl.xml),-1,168,20000,14.347,13.99,381.4,42968.210359,39668.394966,3299.815393,165.185,43.7573,159.16,5.85,0,1727744,0.99,60092416,3782836224,8624000,28614656
file(platform_taurus_hpl.xml),-1,108,20000,17.1201,16.65,320.3,43448.759881,29667.101174,13781.658707,119.327,40.2953,114.7,4.4,0,1711772,0.99,48697344,3668344832,7936000,27844608
file(platform_taurus_hpl.xml),-1,180,20000,13.9318,13.6,392.2,42977.48701,41375.328142,1602.158868,164.915,43.8602,158.9,5.82,0,1741511,0.99,63455232,3806773248,8776000,31641600
file(platform_taurus_hpl.xml),-1,84,20000,19.3485,18.76,284.4,45991.718456,25966.051066,20025.66739,105.444,39.5359,101.23,3.94,0,1686182,0.99,45056000,3623440384,7656000,27688960
file(platform_taurus_hpl.xml),-1,96,20000,18.2594,17.74,300.6,44815.669356,28017.066885,16798.602471,112.236,39.7392,107.8,4.25,0,1690940,0.99,47341568,3646251008,7788000,26284032
file(platform_taurus_hpl.xml),-1,144,20000,15.6515,15.28,349.1,43821.28006,36621.599326,7199.680734,143.24,41.7074,138.14,4.9,0,1709114,0.99,58327040,3739619328,8360000,34332672
file(platform_taurus_hpl.xml),-1,12,20000,68.1594,65.23,81.77,130332.619939,14137.809173,116194.810766,63.4081,35.7607,60.69,2.52,0,1648507,0.99,12169216,3447762944,6752000,2662400
