shared,size,mem_access,system_time,user_time,nb_page_faults,cpu_utilization
True,441414179150,False,16.06,0.02,7156730,0.99
True,441414179150,True,94.44,24.15,114923865,0.75
True,310268047113,False,11.26,0.01,5030889,0.95
True,310268047113,True,66.0,17.05,80779563,0.74
True,95685242190,False,3.46,0.0,1551611,0.99
True,95685242190,True,21.46,5.36,24912274,0.89
True,550027729845,False,20.58,0.02,8917624,0.99
True,550027729845,True,118.38,31.19,143201743,0.61
True,1162589928,True,0.24,0.07,303005,0.99
True,1162589928,False,0.04,0.0,19169,0.93
True,681091268656,True,144.44,37.7,177324540,0.64
True,681091268656,False,24.66,0.01,11042487,0.99
True,501736108685,False,18.27,0.01,8134697,0.99
True,501736108685,True,106.19,27.84,130628866,0.7
True,599168945014,True,126.88,33.66,155995805,0.61
True,599168945014,False,21.86,0.02,9714323,0.99
True,573196860399,False,20.91,0.03,9293252,0.99
True,573196860399,True,123.1,31.8,149233892,0.7
True,312532350745,False,11.46,0.0,5067238,0.99
True,312532350745,True,66.18,17.43,81369083,0.8
True,314011501888,False,11.42,0.0,5091219,0.99
