size,nb_access,system_time,user_time,nb_page_faults
10000000000,68,4.1,24.3,5045258
10000000000,72,3.93,25.69,5045259
10000000000,96,3.92,33.74,5035721
10000000000,71,2.13,24.67,2603852
10000000000,40,2.24,14.04,2603851
10000000000,66,2.18,22.9,2603850
10000000000,32,2.22,11.31,2594314
10000000000,89,3.52,31.07,3952039
10000000000,72,2.1,25.06,2603851
10000000000,57,2.2,19.89,2603851
10000000000,9,2.17,3.34,2603849
10000000000,26,2.28,9.16,2603852
10000000000,31,2.18,10.92,2603851
10000000000,29,2.26,10.33,2603849
10000000000,69,2.16,23.95,2603849
10000000000,14,2.15,5.06,2603850
10000000000,56,2.18,19.55,2603853
10000000000,32,2.11,11.29,2603852
10000000000,12,2.26,4.34,2603851
10000000000,36,2.12,12.62,2603851
10000000000,6,2.17,2.32,2603850
10000000000,23,2.22,8.17,2603852
10000000000,7,2.17,2.69,2603853
10000000000,89,3.97,31.08,5045258
10000000000,39,2.16,13.56,2603850
10000000000,0,0.36,0.0,162443
10000000000,44,2.19,15.4,2603849
10000000000,66,2.24,22.93,2603851
10000000000,2,2.28,0.88,2603849
10000000000,75,2.21,26.13,2603852
10000000000,41,2.27,14.4,2594314
10000000000,96,3.88,34.32,5045258
10000000000,23,2.15,8.16,2603850
10000000000,73,2.13,25.46,2594314
10000000000,23,2.16,8.18,2603850
10000000000,20,2.2,7.15,2603850
10000000000,29,2.24,10.14,2594315
10000000000,55,2.19,19.08,2594314
10000000000,94,4.49,33.0,5045257
10000000000,62,2.14,21.59,2603851
10000000000,51,2.15,17.75,2603852
10000000000,20,2.17,7.15,2603850
10000000000,99,4.46,34.74,5045259
10000000000,41,2.17,14.47,2603850
10000000000,9,2.2,3.28,2603851
10000000000,90,4.08,31.18,5045257
10000000000,90,4.12,31.59,5045257
10000000000,2,2.34,0.94,2603851
10000000000,97,4.08,33.93,5035721
10000000000,13,2.2,4.68,2603850
10000000000,27,2.25,9.38,2603851
10000000000,24,2.2,8.48,2603851
10000000000,0,0.36,0.0,162444
10000000000,54,2.1,18.88,2603852
10000000000,36,4.21,13.12,5045257
10000000000,6,2.16,2.28,2603851
10000000000,24,2.16,8.43,2603854
10000000000,12,2.16,4.34,2603854
10000000000,93,6.22,33.08,7477129
10000000000,71,2.23,24.69,2603850
10000000000,89,2.21,30.89,2603852
10000000000,23,2.26,8.02,2603850
10000000000,80,2.23,27.65,2603849
10000000000,24,2.19,8.53,2603850
10000000000,77,2.14,26.74,2603850
10000000000,27,2.15,9.46,2603850
10000000000,95,3.98,33.35,5045257
10000000000,16,2.25,5.7,2603852
10000000000,27,2.14,9.58,2603852
10000000000,20,2.23,7.05,2603851
10000000000,18,2.2,6.39,2603849
10000000000,58,2.16,20.16,2603851
10000000000,12,2.19,4.31,2603850
10000000000,24,2.21,8.5,2603849
10000000000,15,2.15,5.39,2603851
10000000000,66,2.17,22.95,2603850
10000000000,54,2.21,18.78,2603851
10000000000,1,2.17,0.57,2603849
10000000000,68,2.16,23.76,2603850
10000000000,57,2.15,19.86,2603851
10000000000,81,2.31,28.41,2635445
10000000000,64,2.18,22.29,2594315
10000000000,50,2.12,17.41,2603854
10000000000,90,3.84,31.48,5045257
10000000000,27,2.14,9.5,2603849
10000000000,100,4.06,34.68,5062375
10000000000,35,2.15,12.21,2603849
10000000000,92,3.94,31.96,5045256
10000000000,9,2.08,3.36,2603852
10000000000,40,2.15,13.94,2603851
10000000000,25,2.2,8.76,2603851
10000000000,9,2.16,3.3,2603849
10000000000,48,2.22,16.63,2603850
10000000000,13,2.21,4.62,2603849
10000000000,28,3.69,10.01,4564456
10000000000,7,2.19,2.58,2603850
10000000000,57,2.2,19.71,2603849
10000000000,33,4.21,12.0,5045259
10000000000,88,3.91,30.6,5045260
10000000000,76,2.16,26.23,2603851
